Algorithm,Group Size,Message Size,Encryption Time (ms),Decryption Time (ms),CPU Usage (%),Memory Usage (%),Message Overhead (bytes),Total Time (ms)
RatchetTree,100,128,6.316695362,6.087000889,49.9,0.079363823,4356,52.598209
RatchetTree,100,128,6.087496877,6.181122386,49.8,0.079363823,4356,51.28266598
RatchetTree,100,128,6.070797099,6.237963913,50,0.079363823,4356,52.01904196
RatchetTree,100,128,3.475003177,3.55141703,49.9,0.079363823,4356,32.96962497
RatchetTree,100,1024,10.15419839,8.252459869,49.9,0.081927299,4356,55.77683297
RatchetTree,100,1024,9.924999904,8.269337181,49.7,0.081927299,4356,55.29145803
RatchetTree,100,1024,11.87500311,8.307756972,49.9,0.081927299,4356,57.09404103
RatchetTree,100,1024,9.874999523,8.258254325,49.95,0.081927299,4356,56.51287502
RatchetTree,100,1024,9.645801038,8.234998735,49.95,0.081927299,4356,56.53566599
RatchetTree,100,1024,7.708399789,8.304664923,49.9,0.081927299,4356,54.007333
RatchetTree,100,1024,9.304197738,8.306042175,49.95,0.081927299,4356,55.27095904
RatchetTree,100,1024,10.75830078,8.355789934,49.9,0.081927299,4356,56.39683397
RatchetTree,100,1024,9.883398889,8.274630178,49.9,0.081927299,4356,56.57008401
RatchetTree,100,1024,9.412498912,8.497044677,49.95,0.081927299,4356,55.40895904
RatchetTree,100,10240,16.90420322,20.69946256,49.95,0.116474152,4356,63.46799998
RatchetTree,100,10240,26.62910265,20.4922863,49.95,0.116474152,4356,69.14450001
RatchetTree,100,10240,26.94589784,20.62137134,49.95,0.116474152,4356,70.06
RatchetTree,100,10240,31.7958009,20.87845397,49.95,0.116474152,4356,73.07162497
RatchetTree,100,10240,25.92920209,19.99916713,49.85,0.116474152,4356,67.68733304
RatchetTree,100,10240,22.58329769,21.17404115,49.95,0.116474152,4356,66.20779203
RatchetTree,100,10240,33.22919947,20.56341647,49.95,0.116474152,4356,69.60291602
RatchetTree,100,10240,25.81250155,20.44899808,49.85,0.116474152,4356,69.53666703
RatchetTree,100,10240,31.50000121,21.02420788,49.95,0.116474152,4356,70.60162496
RatchetTree,100,10240,31.51670098,20.6383302,49.6,0.116474152,4356,70.40816697
RatchetTree,1000,128,28.74998609,28.23794854,49.95,0.73583889,43956,251.956292
RatchetTree,1000,128,27.70801075,28.5067847,50,0.73583889,43956,252.101875
RatchetTree,1000,128,26.79199679,28.3691251,47.05,0.73583889,43956,255.995625
